iter	Passed	Remaining
0	144	144627
1	145	72601
2	146	48521
3	146	36484
4	147	29258
5	147	24433
6	147	20988
7	148	18407
8	148	16397
9	149	14789
10	149	13474
11	150	12379
12	150	11450
13	151	10656
14	151	9966
15	152	9362
16	152	8829
17	153	8356
18	153	7932
19	154	7550
20	154	7207
21	155	6893
22	155	6607
23	156	6345
24	156	6103
25	156	5880
26	157	5672
27	157	5480
28	158	5308
29	159	5142
30	159	4987
31	160	4840
32	160	4703
33	160	4573
34	161	4451
35	161	4336
36	162	4226
37	162	4123
38	163	4024
39	163	3931
40	164	3842
41	164	3757
42	165	3677
43	165	3600
44	166	3526
45	166	3456
46	167	3391
47	167	3327
48	168	3265
49	168	3205
50	169	3148
51	169	3093
52	170	3040
53	170	2989
54	171	2939
55	171	2891
56	172	2845
57	172	2804
58	173	2763
59	173	2722
60	174	2682
61	174	2643
62	175	2606
63	175	2570
64	176	2534
65	176	2500
66	177	2467
67	177	2435
68	178	2404
69	178	2374
70	179	2344
71	179	2315
72	180	2288
73	180	2261
74	181	2235
75	181	2209
76	182	2184
77	182	2159
78	183	2135
79	183	2111
80	184	2089
81	184	2067
82	184	2042
83	185	2021
84	185	2001
85	186	1981
86	186	1961
87	187	1944
88	188	1925
89	188	1906
90	189	1888
91	189	1870
92	189	1852
93	190	1835
94	190	1818
95	191	1801
96	191	1785
97	192	1769
98	192	1753
99	193	1738
100	193	1723
101	194	1709
102	194	1695
103	195	1681
104	195	1667
105	196	1653
106	196	1640
107	196	1626
108	197	1613
109	197	1601
110	198	1588
111	198	1576
112	199	1564
113	199	1552
114	200	1540
115	200	1529
116	201	1517
117	201	1507
118	202	1496
119	202	1485
120	203	1475
121	203	1464
122	204	1454
123	204	1444
124	205	1435
125	205	1427
126	206	1417
127	206	1407
128	207	1398
129	207	1389
130	208	1380
131	208	1371
132	209	1362
133	209	1353
134	210	1345
135	210	1337
136	210	1328
137	211	1320
138	211	1312
139	212	1304
140	212	1297
141	213	1288
142	213	1280
143	214	1272
144	214	1265
145	215	1258
146	215	1250
147	216	1243
148	216	1237
149	217	1230
150	217	1223
151	218	1216
152	218	1210
153	219	1203
154	219	1196
155	220	1190
156	220	1183
157	220	1177
158	221	1171
159	221	1165
160	222	1158
161	222	1151
162	223	1145
163	223	1139
164	224	1134
165	224	1128
166	225	1122
167	225	1116
168	225	1110
169	226	1105
170	226	1099
171	227	1094
172	227	1089
173	228	1084
174	228	1078
175	229	1073
176	229	1068
177	230	1063
178	230	1058
179	231	1053
180	231	1049
181	232	1044
182	232	1039
183	233	1034
184	233	1029
185	234	1024
186	234	1020
187	235	1015
188	235	1011
189	236	1006
190	236	1001
191	237	997
192	237	992
193	237	988
194	238	984
195	238	979
196	239	975
197	239	971
198	240	967
199	240	962
200	241	958
201	241	954
202	242	950
203	242	946
204	243	942
205	243	938
206	244	934
207	244	931
208	244	927
209	245	924
210	246	920
211	246	917
212	247	913
213	247	909
214	248	906
215	248	902
216	249	899
217	249	895
218	250	891
219	250	888
220	250	884
221	251	881
222	251	877
223	252	874
224	252	870
225	253	867
226	253	864
227	254	860
228	254	857
229	255	854
230	255	850
231	256	847
232	256	844
233	256	841
234	257	838
235	257	835
236	258	831
237	258	828
238	259	825
239	259	822
240	260	820
241	260	817
242	261	814
243	261	811
244	262	808
245	262	805
246	263	802
247	263	799
248	264	796
249	264	794
250	265	791
251	265	788
252	266	785
253	266	782
254	266	779
255	267	777
256	267	774
257	268	771
258	268	769
259	269	766
260	269	763
261	270	761
262	270	758
263	271	756
264	271	753
265	272	750
266	272	748
267	273	745
268	273	743
269	274	740
270	274	738
271	275	736
272	275	734
273	276	731
274	276	729
275	277	726
276	277	724
277	277	721
278	278	719
279	278	717
280	279	714
281	279	712
282	280	710
283	280	707
284	281	705
285	281	703
286	282	700
287	282	698
288	283	696
289	283	694
290	283	691
291	284	689
292	284	687
293	285	685
294	285	683
295	286	680
296	286	678
297	287	676
298	287	674
299	288	672
300	288	670
301	289	668
302	289	666
303	290	664
304	290	662
305	291	660
306	291	658
307	292	656
308	292	654
309	293	652
310	293	651
311	294	648
312	294	646
313	295	645
314	295	643
315	296	641
316	296	639
317	297	637
318	297	635
319	298	633
320	298	631
321	298	629
322	299	627
323	299	625
324	300	623
325	300	621
326	301	620
327	301	618
328	302	616
329	302	614
330	303	612
331	303	611
332	304	609
333	304	607
334	305	606
335	305	604
336	306	602
337	306	600
338	307	599
339	307	597
340	308	595
341	308	593
342	309	591
343	309	590
344	309	588
345	310	586
346	310	585
347	311	583
348	311	581
349	312	580
350	312	578
351	313	576
352	313	575
353	314	573
354	314	571
355	315	570
356	315	568
357	316	566
358	316	565
359	317	563
360	317	562
361	318	560
362	318	559
363	319	557
364	319	556
365	320	554
366	320	553
367	321	551
368	321	550
369	322	549
370	323	547
371	323	546
372	324	545
373	324	543
374	325	542
375	325	540
376	326	539
377	326	537
378	327	536
379	327	534
380	328	533
381	328	531
382	329	530
383	329	528
384	330	527
385	330	525
386	330	524
387	331	522
388	331	521
389	332	519
390	333	518
391	333	517
392	334	515
393	334	514
394	335	513
395	335	511
396	336	510
397	336	509
398	337	508
399	337	506
400	338	505
401	338	504
402	339	502
403	339	501
404	340	499
405	340	498
406	341	497
407	341	495
408	342	494
409	342	493
410	343	491
411	343	490
412	343	488
413	344	487
414	344	486
415	345	484
416	345	483
417	346	482
418	346	480
419	347	479
420	347	478
421	348	476
422	348	475
423	349	474
424	349	473
425	350	472
426	350	470
427	351	469
428	352	468
429	352	467
430	353	466
431	353	464
432	353	463
433	354	462
434	354	460
435	355	459
436	355	458
437	356	457
438	356	455
439	357	454
440	357	453
441	358	452
442	358	450
443	359	449
444	359	448
445	360	447
446	360	446
447	361	445
448	361	443
449	362	442
450	363	441
451	363	440
452	364	439
453	364	438
454	365	437
455	366	436
456	366	435
457	366	434
458	367	433
459	367	431
460	368	430
461	368	429
462	369	428
463	369	427
464	370	425
465	370	424
466	371	423
467	371	422
468	372	421
469	372	420
470	372	418
471	373	417
472	373	416
473	374	415
474	374	414
475	375	412
476	375	412
477	376	410
478	376	409
479	377	408
480	377	407
481	378	406
482	378	405
483	379	404
484	379	403
485	380	402
486	380	401
487	381	400
488	381	398
489	382	397
490	382	396
491	383	395
492	383	394
493	384	393
494	384	392
495	385	391
496	385	390
497	385	389
498	386	387
499	386	386
500	387	385
501	387	384
502	388	383
503	388	382
504	389	381
505	389	380
506	390	379
507	390	378
508	391	377
509	391	376
510	392	375
511	392	374
512	393	373
513	393	372
514	394	371
515	394	370
516	394	368
517	395	367
518	395	366
519	396	365
520	396	364
521	397	363
522	397	362
523	398	361
524	398	360
525	399	359
526	399	358
527	400	357
528	400	356
529	401	355
530	401	354
531	401	353
532	402	352
533	402	351
534	403	350
535	403	349
536	404	348
537	404	347
538	405	346
539	405	345
540	406	344
541	406	343
542	407	342
543	407	341
544	408	340
545	408	339
546	409	338
547	409	337
548	410	336
549	410	335
550	410	334
551	411	333
552	411	332
553	412	331
554	412	331
555	413	330
556	413	329
557	414	328
558	414	327
559	415	326
560	415	325
561	416	324
562	416	323
563	416	322
564	417	321
565	417	320
566	418	319
567	418	318
568	419	317
569	419	316
570	420	315
571	420	314
572	421	313
573	421	313
574	422	312
575	422	311
576	423	310
577	423	309
578	424	308
579	424	307
580	425	306
581	425	305
582	426	304
583	426	303
584	427	302
585	427	302
586	427	301
587	428	300
588	428	299
589	429	298
590	429	297
591	430	296
592	430	295
593	431	294
594	431	293
595	432	292
596	432	292
597	433	291
598	433	290
599	434	289
600	434	288
601	435	287
602	435	286
603	436	285
604	436	285
605	437	284
606	437	283
607	437	282
608	438	281
609	438	280
610	439	279
611	439	278
612	440	277
613	440	277
614	441	276
615	441	275
616	442	274
617	442	273
618	443	272
619	443	271
620	444	271
621	444	270
622	444	269
623	445	268
624	445	267
625	446	266
626	446	265
627	447	264
628	447	264
629	448	263
630	448	262
631	449	261
632	449	260
633	450	260
634	450	259
635	451	258
636	451	257
637	452	256
638	452	255
639	453	254
640	453	254
641	454	253
642	454	252
643	455	251
644	455	250
645	456	249
646	456	249
647	457	248
648	457	247
649	457	246
650	458	245
651	458	244
652	459	244
653	459	243
654	460	242
655	460	241
656	461	240
657	461	239
658	462	239
659	462	238
660	463	237
661	463	236
662	464	235
663	464	235
664	465	234
665	465	233
666	465	232
667	466	231
668	467	231
669	467	230
670	468	229
671	468	228
672	469	227
673	469	227
674	470	226
675	470	225
676	470	224
677	471	223
678	471	223
679	472	222
680	472	221
681	473	220
682	473	219
683	474	219
684	474	218
685	475	217
686	475	216
687	476	215
688	476	215
689	477	214
690	477	213
691	478	212
692	478	212
693	479	211
694	479	210
695	480	209
696	480	208
697	480	208
698	481	207
699	482	206
700	482	205
701	483	205
702	483	204
703	484	203
704	485	203
705	486	202
706	486	201
707	487	200
708	487	200
709	488	199
710	488	198
711	489	197
712	489	197
713	490	196
714	490	195
715	490	194
716	491	193
717	491	193
718	492	192
719	492	191
720	493	190
721	493	190
722	494	189
723	494	188
724	495	187
725	495	187
726	496	186
727	496	185
728	497	184
729	497	184
730	498	183
731	498	182
732	499	181
733	499	181
734	500	180
735	500	179
736	501	179
737	502	178
738	502	177
739	503	176
740	503	176
741	503	175
742	504	174
743	504	173
744	505	172
745	505	172
746	506	171
747	506	170
748	507	170
749	507	169
750	508	168
751	508	167
752	509	167
753	509	166
754	510	165
755	510	164
756	511	164
757	511	163
758	512	162
759	512	161
760	513	161
761	513	160
762	514	159
763	514	158
764	514	158
765	515	157
766	515	156
767	516	155
768	516	155
769	517	154
770	517	153
771	518	153
772	518	152
773	519	151
774	519	150
775	519	150
776	520	149
777	520	148
778	521	147
779	521	147
780	522	146
781	522	145
782	523	145
783	523	144
784	524	143
785	524	142
786	525	142
787	525	141
788	526	140
789	526	139
790	527	139
791	527	138
792	527	137
793	528	137
794	528	136
795	529	135
796	529	134
797	530	134
798	530	133
799	531	132
800	531	132
801	532	131
802	532	130
803	532	129
